,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
271,数据产品经理,/job_detail/d4b4039bf2b9eac31XV-0tW1F1pQ.html,广州·番禺区·大学城,10-15K·14薪,1-3年,本科,探迹,/gongsi/8dda792e8b6182601HR72dq5.html,互联网,B轮,1000-9999人,"['数据产品', '需求分析', '产品设计', '数据分析']",年终奖，节日福利，带薪年假，五险一金，定期团建，股票期权，零食下午茶，定期体检，通讯补贴，全勤奖，餐补，员工旅游，补充医疗保险，加班补助
272,数据产品经理,/job_detail/b16df56f2d3f55451nJ63ty5EFZQ.html,广州·海珠区·琶洲,30-50K·13薪,5-10年,本科,爆米科技,/gongsi/d87b52f083b65da303R42NW-Ew~~.html,电子商务,B轮,500-999人,"['产品设计', '数据分析', 'SQL', '大数据产品', '搜索产品', '推荐产品', '用户增长']",五险一金，带薪年假，餐补，通讯补贴，员工旅游，补充医疗保险，零食下午茶，股票期权，年终奖，节日福利
273,数据挖掘,/job_detail/a0bce7ae54b9a2dc1XZ639m8EFdR.html,广州·天河区·冼村,14-24K·14薪,3-5年,本科,中康数字科技有限公司,/gongsi/586bd2d2cc9ef6c01nN82Nm6FlE~.html,医疗健康,不需要融资,500-999人,"['数据分析', 'python', 'SQL']",定期体检，餐补，五险一金，节日福利，年终奖，带薪年假
274,大数据产品经理,/job_detail/00b3c4c8b33cee2a1XZ609W4F1ZV.html,广州·白云区·石井,40-50K·13薪,5-10年,本科,广州棒谷,/gongsi/b12e05d8975b2d8603R-2t4~.html,电子商务,未融资,1000-9999人,"['大数据产品', '产品设计', '用户研究', '用户增长', '数据分析']",节日福利，全勤奖，带薪年假，免费班车，五险一金，零食下午茶，加班补助，餐补，年终奖
275,大数据产品经理,/job_detail/5b65d07ce3fececb1XR529q-E1BW.html,广州,25-40K·14薪,5-10年,本科,UR,/gongsi/6a2f4337701b2adb03d9298~.html,服装/纺织/皮革,B轮,1000-9999人,"['数据产品', '数据分析', 'Axure', 'Visio', '数据中台', '数字化', '算法分析']",年终奖，带薪年假，定期体检，生日福利，补充医疗保险，节日福利，绩效奖金，免费班车，五险一金，员工旅游
276,数据资产管理咨询顾问,/job_detail/e7a7e65f3db7224e03Z42Nm7FVc~.html,广州·海珠区·琶洲,15-20K·13薪,3-5年,本科,信安数据,/gongsi/56645005e384b5791nd83Nq6Fw~~.html,数据服务,A轮,100-499人,"['数据分析', '数据处理', '数据仓库', '数据治理', '数据资产', 'IT咨询顾问']",年终奖，节日福利，零食下午茶，定期体检，通讯补贴，五险一金，带薪年假
277,大数据产品经理,/job_detail/3edaf3c0dd8807571XR53Nu8GFdR.html,广州·黄埔区·万达广场,30-35K,5-10年,本科,万融数据服务,/gongsi/868a8b798d35a30b1XR729S0GFc~.html,互联网,未融资,100-499人,"['中台产品', '大数据产品', '市场调研', '需求分析', '产品运营', '数据分析', '产品/版本迭代', 'Axure']",节日福利，年终奖，补充医疗保险，带薪年假，定期体检，全勤奖，零食下午茶，员工旅游，五险一金
278,环境数据分析,/job_detail/a658f13f905ac26a1nJy2t--GVZW.html,广州·黄埔区·中心城,5-8K,1-3年,本科,禾信仪器,/gongsi/0cb59141d7dd54031XB_2di1Fw~~.html,仪器仪表/工业自动化,已上市,500-999人,"['大气', '大气环境', 'voc', '仪器监测']",节日福利，全勤奖，五险一金，餐补，补充医疗保险，员工旅游，通讯补贴，免费班车，股票期权，年终奖，带薪年假，零食下午茶，定期体检
279,商业分析资深专家,/job_detail/47ddbb4bbb50a9201nR92tS6ElZX.html,广州·荔湾区·芳村,20-40K·15薪,5-10年,本科,未来一手网络科技...,/gongsi/ffa136fbf2c92fc91nx73N2-EFY~.html,电子商务,C轮,500-999人,"['数据分析', '商业分析']",员工旅游，加班补助，定期体检，节日福利，股票期权，带薪年假，五险一金，零食下午茶，餐补，年终奖
280,分析专员,/job_detail/e47c052c53a177131nVz0ty1ElNX.html,广州·白云区·金沙洲,5-8K,1年以内,本科,乐禾食品集团,/gongsi/ac9f8414ae56bf0603F53d26Fg~~.html,批发/零售,D轮及以上,1000-9999人,"['数据分析', '行业数据分析', '数据挖掘', 'TO B']",零食下午茶，五险一金，年终奖，定期体检，节日福利，包吃，股票期权
281,数据产品经理（派遣）,/job_detail/4b4ec671fecaaa7b1nJ92du0F1dQ.html,广州·天河区·天河公园,11-18K·13薪,1-3年,本科,网易游戏,/gongsi/378e32b74df25c2c1XRy2N2_FFA~.html,游戏,已上市,10000人以上,"['商业产品', '产品设计', '用户研究', '数据分析', 'Visio', '大数据产品', '中台产品', 'SQL']",带薪年假，年终奖，定期体检，员工旅游，五险一金，补充医疗保险，股票期权，交通补助，餐补，包吃，免费班车，节日福利
282,见习数据规划咨询师,/job_detail/10cd8d28f97282c303Z42N66GFM~.html,广州·海珠区·琶洲,7-12K·13薪,1-3年,本科,信安数据,/gongsi/56645005e384b5791nd83Nq6Fw~~.html,数据服务,A轮,100-499人,"['咨询项目管理', '数据调研', '数据分析']",零食下午茶，带薪年假，五险一金，年终奖，定期体检，通讯补贴，节日福利
283,数据挖掘,/job_detail/137d441971ccb4f01nRz2921GVVV.html,广州·天河区·岑村,13-24K,1-3年,本科,小鹏汽车,/gongsi/1ab3d8fb705b4da303Z83Nm1.html,汽车生产,已上市,10000人以上,"['数据挖掘', '数据分析', '数据开发', 'Python', 'Java']",年终奖，餐补，节日福利，股票期权，带薪年假，补充医疗保险，五险一金，包吃，定期体检
